VARIABLES="X" "Y" "Temp" 
zone t="0", i=200, j=200, f=point
solutiontime=0
1.5e-05 0.000805 300
1.5e-05 0.000815 300
1.5e-05 0.000825 300
1.5e-05 0.000835 300
1.5e-05 0.000845 300
1.5e-05 0.000855 300
1.5e-05 0.000865 300
1.5e-05 0.000875 300
1.5e-05 0.000885 300
1.5e-05 0.000895 300
1.5e-05 0.000905 300
1.5e-05 0.000915 300
1.5e-05 0.000925 300
1.5e-05 0.000935 300
1.5e-05 0.000945 300
1.5e-05 0.000955 300
1.5e-05 0.000965 300
1.5e-05 0.000975 300
1.5e-05 0.000985 300
1.5e-05 0.000995 300
1.5e-05 0.001005 300
1.5e-05 0.001015 300
1.5e-05 0.001025 300
1.5e-05 0.001035 300
1.5e-05 0.001045 300
1.5e-05 0.001055 300
1.5e-05 0.001065 300
1.5e-05 0.001075 300
1.5e-05 0.001085 300
1.5e-05 0.001095 300
1.5e-05 0.001105 300
1.5e-05 0.001115 300
1.5e-05 0.001125 300
1.5e-05 0.001135 300
1.5e-05 0.001145 300
1.5e-05 0.001155 300
1.5e-05 0.001165 300
1.5e-05 0.001175 300
1.5e-05 0.001185 300
1.5e-05 0.001195 300
1.5e-05 0.001205 300
1.5e-05 0.001215 300
1.5e-05 0.001225 300
1.5e-05 0.001235 300
1.5e-05 0.001245 300
1.5e-05 0.001255 300
1.5e-05 0.001265 300
1.5e-05 0.001275 300
1.5e-05 0.001285 300
1.5e-05 0.001295 300
1.5e-05 0.001305 300
1.5e-05 0.001315 300
1.5e-05 0.001325 300
1.5e-05 0.001335 300
1.5e-05 0.001345 300
1.5e-05 0.001355 300
1.5e-05 0.001365 300
1.5e-05 0.001375 300
1.5e-05 0.001385 300
1.5e-05 0.001395 300
1.5e-05 0.001405 300
1.5e-05 0.001415 300
1.5e-05 0.001425 300
1.5e-05 0.001435 300
1.5e-05 0.001445 300
1.5e-05 0.001455 300
1.5e-05 0.001465 300
1.5e-05 0.001475 300
1.5e-05 0.001485 300
1.5e-05 0.001495 300
1.5e-05 0.001505 300
1.5e-05 0.001515 300
1.5e-05 0.001525 300
1.5e-05 0.001535 300
1.5e-05 0.001545 300
1.5e-05 0.001555 300
1.5e-05 0.001565 300
1.5e-05 0.001575 300
1.5e-05 0.001585 300
1.5e-05 0.001595 300
1.5e-05 0.001605 300
1.5e-05 0.001615 300
1.5e-05 0.001625 300
1.5e-05 0.001635 300
1.5e-05 0.001645 300
1.5e-05 0.001655 300
1.5e-05 0.001665 300
1.5e-05 0.001675 300
1.5e-05 0.001685 300
1.5e-05 0.001695 300
1.5e-05 0.001705 300
1.5e-05 0.001715 300
1.5e-05 0.001725 300
1.5e-05 0.001735 300
1.5e-05 0.001745 300
1.5e-05 0.001755 300
1.5e-05 0.001765 300
1.5e-05 0.001775 300
1.5e-05 0.001785 300
1.5e-05 0.001795 300
1.5e-05 0.001805 300
1.5e-05 0.001815 300
1.5e-05 0.001825 300
1.5e-05 0.001835 300
1.5e-05 0.001845 300
1.5e-05 0.001855 300
1.5e-05 0.001865 300
1.5e-05 0.001875 300
1.5e-05 0.001885 300
1.5e-05 0.001895 300
1.5e-05 0.001905 300
1.5e-05 0.001915 300
1.5e-05 0.001925 300
1.5e-05 0.001935 300
1.5e-05 0.001945 300
1.5e-05 0.001955 300
1.5e-05 0.001965 300
1.5e-05 0.001975 300
1.5e-05 0.001985 300
1.5e-05 0.001995 300
2.5e-05 5e-06 300
2.5e-05 1.5e-05 300
2.5e-05 2.5e-05 300
2.5e-05 3.5e-05 300
2.5e-05 4.5e-05 300
2.5e-05 5.5e-05 300
2.5e-05 6.5e-05 300
2.5e-05 7.5e-05 300
2.5e-05 8.5e-05 300
2.5e-05 9.5e-05 300
2.5e-05 0.000105 300
2.5e-05 0.000115 300
2.5e-05 0.000125 300
2.5e-05 0.000135 300
